Schlag; Schwenk; Winkel
-456,80548095703125;714,911865234375;88,87126593280937
-397,92535400390625;691,8323364257812;88,98611556370314
-503,8926696777344;734,359619140625;89,08844545784827
-407,450439453125;694,9410400390625;89,15211648129113
-394,44049072265625;692,0781860351562;89,17085852037364
-366,76605224609375;679,1936645507812;89,16018976489008
-426,3388977050781;676,9258422851562;89,14840768857181
-385,0047607421875;665,4647827148438;89,16271010469382
-348,8970642089844;668,89013671875;89,2184922596453
-418,2365417480469;664,44287109375;89,31575415342628
-360,43780517578125;629,1058349609375;89,44207850212568
-376,0859069824219;652,4951782226562;89,57890085157938
-355,2065124511719;606,821533203125;89,70853784202622
-337,5606994628906;595,6828002929688;89,81933717074216
-374,62164306640625;580,1749267578125;89,90690702609089
-353,07525634765625;563,6212768554688;89,97105616277565
-318,13836669921875;518,055908203125;90,01109473169026
-356,4358215332031;533,37890625;90,02355299673637
-313,92718505859375;470,01611328125;90,00388205192674
-338,41351318359375;445,2009582519531;89,95098223680499
-358,04046630859375;424,15814208984375;89,87125343862343
-376,94366455078125;424,6456604003906;89,77970841317774
-398,1880187988281;401,45355224609375;89,69722704876067
-423,6885070800781;419,25775146484375;89,64485315820501
-439,6937561035156;400,5393981933594;89,63688232744362
-416,21978759765625;386,90704345703125;89,67499478301228
-459,6103515625;376,46319580078125;89,74649320324397
-447,66009521484375;365,1474914550781;89,82843498271662
-468,6105041503906;367,5878601074219;89,89655245930915
-459,0039367675781;332,5837707519531;89,93435755636517
-516,3948974609375;335,55023193359375;89,93799804719279
-474,19207763671875;331,51763916015625;89,91551989463427
-477,2419738769531;300,08984375;89,882605213024
-477,0094909667969;296,7599182128906;89,85714909798735
-527,1468505859375;293,1022033691406;89,85389109775325
-441,7283630371094;250,09593200683594;89,87975019395093
-416,4545593261719;244,99935913085938;89,93127031086033
-419,9508056640625;229,61276245117188;89,9959180513545
-419,6987609863281;193,7611541748047;90,05760148974889
-354,3456726074219;146,73733520507812;90,10367111570062
-321,2674865722656;126,23161315917969;90,12973511757339
-421,4322814941406;87,4731674194336;90,14017164662516
-407,712890625;93,21891784667969;90,14459760920734
-333,85479736328125;85,68081665039062;90,15260942110376
-267,23077392578125;83,23342895507812;90,16950730911037
-263,8861083984375;34,3626594543457;90,19497025433618
-266,6882629394531;-11,961650848388672;90,22477036968495
-278,9326171875;-15,942997932434082;90,2540035793326
-208,000732421875;-32,16767120361328;90,27970558117936
-162,2323760986328;-87,48906707763672;90,30152803557755
-186,81834411621094;-148,3173828125;90,32084381055034
-164,84376525878906;-139,48536682128906;90,33938777414693
-68,7533950805664;-142,47589111328125;90,35813664341862
-43,14411163330078;-169,1248016357422;90,37671475796105
-85,89798736572266;-221,7060089111328;90,3933530987792
-38,07977294921875;-260,4827575683594;90,40580453363613
-52,54597091674805;-282,6854553222656;90,41311283604804
-38,941734313964844;-337,2995910644531;90,4172246099284
-33,165870666503906;-354,0826416015625;90,42311906318211
-35,65021896362305;-393,02490234375;90,43658136603621
14,964617729187012;-373,7137145996094;90,46078755645473
71,51771545410156;-399,1003112792969;90,49376370976756
135,70960998535156;-388,43365478515625;90,52837910848119
103,76353454589844;-425,724365234375;90,55520126135183
58,903846740722656;-449,64910888671875;90,56707896031847
45,675899505615234;-474,17767333984375;90,56348628081506
95,11927032470703;-492,0919494628906;90,55227794038706
173,96749877929688;-465,26556396484375;90,5471894494554
177,1275177001953;-485,48040771484375;90,56149869576657
187,50059509277344;-481,4153137207031;90,60091571746672
215,64695739746094;-474,0760498046875;90,6600719858682
247,0972137451172;-481,3788146972656;90,72506806601004
276,12884521484375;-517,4236450195312;90,78056335301639
275,188232421875;-525,7782592773438;90,81644233672647
369,6203308105469;-531,216552734375;90,83002075279646
350,241455078125;-568,7689208984375;90,82369599762502
439,5884094238281;-567,107177734375;90,80150471301165
392,8106689453125;-591,77783203125;90,7673537671616
437,5583190917969;-606,7861938476562;90,72519783960428
470,2859191894531;-625,3286743164062;90,67992734578543
510,64251708984375;-624,2538452148438;90,6379763239032
577,9795532226562;-629,1730346679688;90,60698775563885
579,7525024414062;-645,4337768554688;90,59411284905339
524,2738647460938;-663,6239624023438;90,60318334027116
524,6064453125;-678,7047119140625;90,63210919140617
487,25067138671875;-704,44873046875;90,67207945842908
477,6571350097656;-703,32861328125;90,7096113479183
563,8391723632812;-691,2265014648438;90,73139965137064
503,07745361328125;-716,134033203125;90,72987651918572
513,305908203125;-698,58935546875;90,70674949865607
488,5286560058594;-711,297607421875;90,67268051507604
592,869873046875;-694,2178955078125;90,6434677959959
455,0589599609375;-712,0670166015625;90,6340831160763
393,3101501464844;-737,1129150390625;90,65227874002521
476,2825622558594;-700,8812255859375;90,69402485623233
475,537353515625;-700,193115234375;90,74344810506655
375,6385803222656;-701,496826171875;90,77884897553471
466,4250793457031;-665,6554565429688;90,7825645984432
434,6516418457031;-662,2266845703125;90,74979335080549
432,4183044433594;-656,5247802734375;90,69168893153619
457,064208984375;-635,9584350585938;90,63092756867975
388,8723449707031;-641,6865844726562;90,59136711300704
380,6430358886719;-616,9600219726562;90,58662013153388
360,9002380371094;-612,589599609375;90,61321688816192
332,13201904296875;-583,892578125;90,65176647583746
350,8027038574219;-559,0634155273438;90,67522817563646
323,7807312011719;-540,2493896484375;90,66012662738156
341,4610595703125;-523,970458984375;90,5957725850217
350,43865966796875;-509,20416259765625;90,48825174710736
269,1866760253906;-518,33251953125;90,35787709623015
277,931884765625;-508,29296875;90,23145712488238
206,562744140625;-478,2831726074219;90,13199591018866
183,4145965576172;-457,4425964355469;90,07042858501016
119,47372436523438;-454,5858459472656;90,04348348873447
210,74383544921875;-420,8905029296875;90,0381696015602
124,59989929199219;-398,3248596191406;90,03915997898984
152,2079620361328;-389,4243469238281;90,03485012962358
37,26264190673828;-366,7535705566406;90,02056820406908
92,88721466064453;-348,37225341796875;89,99879356099507
42,691688537597656;-341,36651611328125;89,9761241631398
-3,049656867980957;-319,23126220703125;89,95770314294828
-82,32654571533203;-302,076171875;89,94197321728974
-37,01353073120117;-275,810302734375;89,9198638949464
-158,91513061523438;-253,99301147460938;89,87990728830184
-127,57681274414062;-209,92176818847656;89,81648215166909
-124,62071990966797;-196,85926818847656;89,73568101378784
-111,29369354248047;-186,31112670898438;89,65454519663726
-123,01225280761719;-148,0064697265625;89,59347647526818
-114,98489379882812;-133,093017578125;89,565909831778
-104,88536834716797;-109,65502166748047;89,5712851906548
-142,76419067382812;-77,6425552368164;89,59519768293902
-141,30308532714844;-33,93376541137695;89,6165010429603
-128,42588806152344;-5,810297966003418;89,61712942036394
-140,64366149902344;19,99936294555664;89,5892349277936
-186,45016479492188;39,20522689819336;89,53649903721193
-219,3725128173828;68,59553527832031;89,4700891079119
