"B0 AOI2";;;;;;;;;;
"Index [1]";"X [mm]";"Y [mm]";"Z [mm]";"U [mm]";"V [mm]";"W [mm]";"Sigma_X [mm]";"Sigma_Y [mm]";"Sigma_Z [mm]";"sigma [pixel]"
0;2318,4765625;469,1558532714844;50618,72265625;0,0;0,0;0,0;0,6293061971664429;0,19438578188419342;0,19327403604984283;0,013864562846720219
1;2318,4765625;469,1558532714844;50618,72265625;5,6899800300598145;-29,41781997680664;1,6630792617797852;0,7440741658210754;0,23688241839408875;0,2450070083141327;0,00978301465511322
2;2318,4765625;469,1558532714844;50618,72265625;8,743523597717285;-30,11874008178711;-3,173734426498413;0,7499914765357971;0,24004828929901123;0,24662739038467407;0,009922506287693977
3;2318,4765625;469,1558532714844;50618,72265625;0,8907067179679871;-41,33944320678711;-1,985253930091858;0,7555447816848755;0,24341219663619995;0,2499638795852661;0,010136904194951057
4;2318,4765625;469,1558532714844;50618,72265625;28,703720092773438;-42,159019470214844;-4,871198654174805;0,7525395750999451;0,24390016496181488;0,2485818713903427;0,010083973407745361
5;2318,4765625;469,1558532714844;50618,72265625;8,441240310668945;-63,2761116027832;-3,734126091003418;0,7362338900566101;0,24032790958881378;0,24345077574253082;0,009758285246789455
6;2318,4765625;469,1558532714844;50618,72265625;35,11309814453125;-57,409881591796875;-2,7874646186828613;0,7409308552742004;0,243660107254982;0,2450888305902481;0,009908212348818779
7;2318,4765625;469,1558532714844;50618,72265625;56,114864349365234;-69,85638427734375;-4,373321533203125;0,7479621171951294;0,24861660599708557;0,24837663769721985;0,010147089138627052
8;2318,4765625;469,1558532714844;50618,72265625;49,51874542236328;-83,16834259033203;-2,1660847663879395;0,742071807384491;0,24693532288074493;0,2443053126335144;0,009974702261388302
9;2318,4765625;469,1558532714844;50618,72265625;14,491250038146973;-85,82683563232422;1,2065885066986084;0,761720597743988;0,2568294107913971;0,25199052691459656;0,010518332943320274
10;2318,4765625;469,1558532714844;50618,72265625;34,107975006103516;-90,14483642578125;1,7382246255874634;0,7700422406196594;0,25805407762527466;0,2511770725250244;0,010611980222165585
11;2318,4765625;469,1558532714844;50618,72265625;18,110694885253906;-101,85503387451172;-3,503218173980713;0,786957859992981;0,26298588514328003;0,2542664110660553;0,010932461358606815
12;2318,4765625;469,1558532714844;50618,72265625;-3,712174654006958;-117,83011627197266;-3,021498680114746;0,7509543895721436;0,25731953978538513;0,24571619927883148;0,010350028984248638
13;2318,4765625;469,1558532714844;50618,72265625;-6,04740047454834;-123,26036071777344;-2,30568265914917;0,756172776222229;0,26140591502189636;0,24712930619716644;0,0105257174000144
14;2318,4765625;469,1558532714844;50618,72265625;1,7925103902816772;-126,0850830078125;-2,6674020290374756;0,7815022468566895;0,2689177095890045;0,25270265340805054;0,011047013103961945
15;2318,4765625;469,1558532714844;50618,72265625;-4,511132717132568;-131,07354736328125;-3,824451208114624;0,7233268022537231;0,2579605281352997;0,23766383528709412;0,00998171977698803
16;2318,4765625;469,1558532714844;50618,72265625;-14,131087303161621;-140,29278564453125;-6,595703601837158;0,7813616394996643;0,27668580412864685;0,25357240438461304;0,01124704908579588
17;2318,4765625;469,1558532714844;50618,72265625;1,9850854873657227;-152,57225036621094;-3,425621509552002;0,8036078214645386;0,28308120369911194;0,25804102420806885;0,011708569712936878
18;2318,4765625;469,1558532714844;50618,72265625;-3,561340093612671;-154,66062927246094;-2,0572729110717773;0,7979668378829956;0,2832834720611572;0,2555040121078491;0,011645112186670303
19;2318,4765625;469,1558532714844;50618,72265625;1,7617992162704468;-160,44493103027344;-2,542663812637329;0,7894109487533569;0,28357982635498047;0,25256237387657166;0,011543568223714828
20;2318,4765625;469,1558532714844;50618,72265625;4,77580451965332;-165,81358337402344;-1,218757152557373;0,7830678224563599;0,28829219937324524;0,2519831955432892;0,011556296609342098
21;2318,4765625;469,1558532714844;50618,72265625;12,111870765686035;-183,73257446289062;-2,7284281253814697;0,8064809441566467;0,28992775082588196;0,25434133410453796;0,011957084760069847
22;2318,4765625;469,1558532714844;50618,72265625;13,958304405212402;-198,1497039794922;-4,625363349914551;0,8304621577262878;0,29860225319862366;0,26002755761146545;0,012502867728471756
23;2318,4765625;469,1558532714844;50618,72265625;40,69651794433594;-201,87930297851562;-3,607961654663086;0,8490450978279114;0,3079705536365509;0,26506882905960083;0,012981373816728592
24;2318,4765625;469,1558532714844;50618,72265625;63,954402923583984;-203,32867431640625;-7,764916896820068;0,8344104886054993;0,3104531764984131;0,261807918548584;0,012834976427257061
25;2318,4765625;469,1558532714844;50618,72265625;96,09407806396484;-210,5596160888672;-9,738971710205078;0,8464068174362183;0,3114244043827057;0,2622033357620239;0,013066948391497135
26;2318,4765625;469,1558532714844;50618,72265625;84,85436248779297;-220,57313537597656;-6,778383255004883;0,8602891564369202;0,31685712933540344;0,26469627022743225;0,013405120000243187
27;2318,4765625;469,1558532714844;50618,72265625;78,11931610107422;-231,848876953125;-6,458827972412109;0,8628812432289124;0,3128686249256134;0,2617543041706085;0,013402314856648445
28;2318,4765625;469,1558532714844;50618,72265625;75,4652099609375;-240,2445526123047;-5,492828369140625;0,8621266484260559;0,323010116815567;0,2635076940059662;0,013614783994853497
29;2318,4765625;469,1558532714844;50618,72265625;61,929840087890625;-247,9029541015625;-6,639556407928467;0,902817964553833;0,3279375433921814;0,2703356146812439;0,014348297379910946
30;2318,4765625;469,1558532714844;50618,72265625;62,20185089111328;-256,93743896484375;-7,122864246368408;0,9029259085655212;0,3315129578113556;0,269767165184021;0,014460094273090363
31;2318,4765625;469,1558532714844;50618,72265625;71,52898406982422;-269,0263671875;-7,562691688537598;0,8855044841766357;0,32274582982063293;0,26200589537620544;0,014085735194385052
32;2318,4765625;469,1558532714844;50618,72265625;91,4979248046875;-271,6388854980469;-7,131968975067139;0,9334055781364441;0,34123918414115906;0,2747296094894409;0,015177558176219463
33;2318,4765625;469,1558532714844;50618,72265625;104,97840118408203;-267,6379699707031;-9,583611488342285;0,9315340518951416;0,3433673083782196;0,27334412932395935;0,0152403824031353
34;2318,4765625;469,1558532714844;50618,72265625;64,60708618164062;-291,94818115234375;-5,491476058959961;0,9106616377830505;0,33449751138687134;0,2651903033256531;0,014824033714830875
35;2318,4765625;469,1558532714844;50618,72265625;48,462276458740234;-296,6935729980469;-6,535403728485107;0,9134475588798523;0,3328736424446106;0,2636098563671112;0,014887050725519657
36;2318,4765625;469,1558532714844;50618,72265625;32,57368087768555;-310,08587646484375;-8,290667533874512;0,9225260019302368;0,3417198657989502;0,26635804772377014;0,015243692323565483
