"B0 AOI1";;;;;;;;;;
"Index [1]";"X [mm]";"Y [mm]";"Z [mm]";"U [mm]";"V [mm]";"W [mm]";"Sigma_X [mm]";"Sigma_Y [mm]";"Sigma_Z [mm]";"sigma [pixel]"
35;-378,1942138671875;136,45712280273438;41009,19140625;-287,0191955566406;830,4969482421875;-64,60548400878906;0,5802555680274963;0,24404847621917725;0,17143212258815765;0,00885048322379589
36;-378,1942138671875;136,45712280273438;41009,19140625;-285,6492919921875;807,9633178710938;-63,68794250488281;0,590196430683136;0,25073498487472534;0,17459547519683838;0,009139110334217548
37;-378,1942138671875;136,45712280273438;41009,19140625;-227,88616943359375;772,9635620117188;-54,8679084777832;0,606210470199585;0,25119292736053467;0,17709992825984955;0,009432177990674973
38;-378,1942138671875;136,45712280273438;41009,19140625;-229,7192840576172;733,7979125976562;-54,003726959228516;0,5980960726737976;0,2548638880252838;0,17624209821224213;0,009385892190039158
39;-378,1942138671875;136,45712280273438;41009,19140625;-218,96136474609375;706,2353515625;-51,2650146484375;0,599677324295044;0,2524898052215576;0,17548881471157074;0,009410999715328217
40;-378,1942138671875;136,45712280273438;41009,19140625;-199,22540283203125;700,8709106445312;-48,75497817993164;0,611291766166687;0,25707289576530457;0,178451269865036;0,009698526002466679
41;-378,1942138671875;136,45712280273438;41009,19140625;-205,9031524658203;682,5792236328125;-49,32373046875;0,6170661449432373;0,2513654828071594;0,17769724130630493;0,009724237956106663
42;-378,1942138671875;136,45712280273438;41009,19140625;-243,79519653320312;694,457275390625;-54,44451904296875;0,5921213030815125;0,2523958683013916;0,17318733036518097;0,009387870319187641
43;-378,1942138671875;136,45712280273438;41009,19140625;-250,8197479248047;722,4495849609375;-56,5580940246582;0,6127899885177612;0,2578556537628174;0,17812451720237732;0,00984195340424776
44;-378,1942138671875;136,45712280273438;41009,19140625;-180,9095458984375;759,3467407226562;-48,23685073852539;0,6155564785003662;0,2588748037815094;0,1786697804927826;0,009933355264365673
45;-378,1942138671875;136,45712280273438;41009,19140625;-286,48236083984375;726,6449584960938;-61,712825775146484;0,6202195882797241;0,259642094373703;0,17958907783031464;0,010063654743134975
46;-378,1942138671875;136,45712280273438;41009,19140625;-279,0546875;724,7150268554688;-59,567161560058594;0,6154260039329529;0,2566118836402893;0,1778184324502945;0,009975467808544636
47;-378,1942138671875;136,45712280273438;41009,19140625;-348,4881896972656;692,096435546875;-67,82675170898438;0,6171479821205139;0,25916925072669983;0,1787084937095642;0,010086070746183395
48;-378,1942138671875;136,45712280273438;41009,19140625;-340,71807861328125;696,0119018554688;-66,72581481933594;0,6314554810523987;0,2690730690956116;0,18376046419143677;0,010498506017029285
