"B0 AOI1";;;;;;;;;;
"Index [1]";"X [mm]";"Y [mm]";"Z [mm]";"U [mm]";"V [mm]";"W [mm]";"Sigma_X [mm]";"Sigma_Y [mm]";"Sigma_Z [mm]";"sigma [pixel]"
0;-362,5203857421875;95,84056091308594;40729,77734375;2,855862898595851e-12;-1,3536390161984074e-13;-6,690686633198384e-12;0,3727164566516876;0,13430532813072205;0,10501662641763687;0,008566297590732574
1;-362,5203857421875;95,84056091308594;40729,77734375;-11,475147247314453;-112,55712127685547;-0,771036684513092;0,5202659368515015;0,18819579482078552;0,16402530670166016;0,006768610794097185
2;-362,5203857421875;95,84056091308594;40729,77734375;-35,031494140625;-92,02855682373047;-16,498626708984375;0,46648767590522766;0,16995899379253387;0,14759857952594757;0,005456326529383659
3;-362,5203857421875;95,84056091308594;40729,77734375;-62,022972106933594;-102,56566619873047;-24,675437927246094;0,46973156929016113;0,17252245545387268;0,14908979833126068;0,005590994842350483
4;-362,5203857421875;95,84056091308594;40729,77734375;-31,422863006591797;-276,0325012207031;-3,023466110229492;0,47909626364707947;0,17767387628555298;0,15264740586280823;0,005872894078493118
5;-362,5203857421875;95,84056091308594;40729,77734375;-180,8667755126953;-88,10633087158203;-46,41553497314453;0,49788278341293335;0,18331165611743927;0,15632349252700806;0,0062019797042012215
6;-362,5203857421875;95,84056091308594;40729,77734375;-186,35504150390625;-69,8707275390625;-47,93302536010742;0,4987376034259796;0,18591754138469696;0,15761549770832062;0,0063280933536589146
7;-362,5203857421875;95,84056091308594;40729,77734375;-228,9769287109375;-32,311302185058594;-53,782066345214844;0,4831632971763611;0,18086285889148712;0,15243969857692719;0,005930153653025627
8;-362,5203857421875;95,84056091308594;40729,77734375;-197,59706115722656;16,76483726501465;-49,264244079589844;0,49853742122650146;0,1888638287782669;0,157954141497612;0,006384828127920628
9;-362,5203857421875;95,84056091308594;40729,77734375;-257,3984069824219;77,40498352050781;-57,38932418823242;0,5026463866233826;0,19155853986740112;0,1591627299785614;0,006503327749669552
10;-362,5203857421875;95,84056091308594;40729,77734375;-284,1263122558594;126,30937194824219;-60,642215728759766;0,5020779967308044;0,1928958296775818;0,15908794105052948;0,006519063841551542
11;-362,5203857421875;95,84056091308594;40729,77734375;-368,5106201171875;137,72462463378906;-71,96522521972656;0,5118821263313293;0,19705091416835785;0,16165697574615479;0,006756897550076246
12;-362,5203857421875;95,84056091308594;40729,77734375;-356,25604248046875;18,134471893310547;-49,70213317871094;0,5178533792495728;0,20169878005981445;0,16396106779575348;0,0069424924440681934
13;-362,5203857421875;95,84056091308594;40729,77734375;-369,34197998046875;228,31784057617188;-74,0723648071289;0,5107283592224121;0,19985681772232056;0,16141994297504425;0,0067912740632891655
14;-362,5203857421875;95,84056091308594;40729,77734375;-410,5984802246094;90,17573547363281;-57,946380615234375;0,5202585458755493;0,2044631689786911;0,16412261128425598;0,007035012356936932
15;-362,5203857421875;95,84056091308594;40729,77734375;-442,7126770019531;149,28179931640625;-63,1291618347168;0,5149975419044495;0,20490843057632446;0,1628464311361313;0,006958348676562309
16;-362,5203857421875;95,84056091308594;40729,77734375;-461,1281433105469;174,78439331054688;-66,21485137939453;0,5271896719932556;0,20955802500247955;0,16590575873851776;0,0072452472522854805
17;-362,5203857421875;95,84056091308594;40729,77734375;-495,4219055175781;222,71726989746094;-71,53732299804688;0,5341562628746033;0,21250677108764648;0,1674879938364029;0,0074162050150334835
18;-362,5203857421875;95,84056091308594;40729,77734375;-560,0059204101562;227,54225158691406;-80,49344635009766;0,544344425201416;0,21873749792575836;0,17081885039806366;0,007691686972975731
19;-362,5203857421875;95,84056091308594;40729,77734375;-628,9553833007812;240,76339721679688;-89,96440124511719;0,5222199559211731;0,21358269453048706;0,16459700465202332;0,0072500151582062244
20;-362,5203857421875;95,84056091308594;40729,77734375;-589,822265625;239,178466796875;-84,33815002441406;0,5303740501403809;0,21480490267276764;0,16569384932518005;0,007420989219099283
21;-362,5203857421875;95,84056091308594;40729,77734375;-517,1293334960938;231,28262329101562;-75,37627410888672;0,529909074306488;0,21813057363033295;0,16609233617782593;0,007467210292816162
