"B0 AOI2";;;;;;;;;;
"Index [1]";"X [mm]";"Y [mm]";"Z [mm]";"U [mm]";"V [mm]";"W [mm]";"Sigma_X [mm]";"Sigma_Y [mm]";"Sigma_Z [mm]";"sigma [pixel]"
35;2424,6240234375;-307,2074890136719;50716,21484375;17,42461395263672;660,9368286132812;-108,53900909423828;0,8751248121261597;0,19968657195568085;0,23760516941547394;0,014887050725519657
36;2424,6240234375;-307,2074890136719;50716,21484375;2,535898447036743;646,4371337890625;-110,26325225830078;0,8838289380073547;0,2018788903951645;0,24373741447925568;0,015243692323565483
37;2424,6240234375;-307,2074890136719;50716,21484375;5,343132019042969;641,8475952148438;-110,18212890625;0,90458744764328;0,20477186143398285;0,2461858093738556;0,015684381127357483
38;2424,6240234375;-307,2074890136719;50716,21484375;25,601240158081055;647,6053466796875;-111,95101928710938;0,8908067345619202;0,2020512819290161;0,24676266312599182;0,015552827157080173
39;2424,6240234375;-307,2074890136719;50716,21484375;26,653564453125;649,1401977539062;-111,63739776611328;0,9001560807228088;0,20162050426006317;0,24306151270866394;0,015659276396036148
40;2424,6240234375;-307,2074890136719;50716,21484375;53,64712905883789;654,2678833007812;-114,09611511230469;0,9168778657913208;0,2041759341955185;0,24589352309703827;0,016054879873991013
41;2424,6240234375;-307,2074890136719;50716,21484375;33,207801818847656;647,5797729492188;-112,62763214111328;0,919092059135437;0,20402216911315918;0,24660488963127136;0,016175802797079086
42;2424,6240234375;-307,2074890136719;50716,21484375;21,470874786376953;642,076416015625;-112,05817413330078;0,9014336466789246;0,2001005858182907;0,2442193627357483;0,015913300216197968
43;2424,6240234375;-307,2074890136719;50716,21484375;29,057710647583008;654,966552734375;-111,19389343261719;0,9080032110214233;0,20044547319412231;0,24385285377502441;0,016070840880274773
44;2424,6240234375;-307,2074890136719;50716,21484375;4,048548698425293;647,0110473632812;-111,63218688964844;0,8965597748756409;0,19946476817131042;0,24895188212394714;0,016110774129629135
45;2424,6240234375;-307,2074890136719;50716,21484375;26,014684677124023;667,8482666015625;-112,7021484375;0,9079439640045166;0,1997465193271637;0,24487435817718506;0,016245394945144653
46;2424,6240234375;-307,2074890136719;50716,21484375;10,393902778625488;662,2036743164062;-111,63933563232422;0,8971917033195496;0,1965169459581375;0,23992185294628143;0,01601041667163372
47;2424,6240234375;-307,2074890136719;50716,21484375;20,86031150817871;679,8241577148438;-110,75686645507812;0,8942646980285645;0,19675256311893463;0,24424178898334503;0,01616949960589409
48;2424,6240234375;-307,2074890136719;50716,21484375;-7,385501861572266;669,8709716796875;-111,0689697265625;0,9128426909446716;0,19939228892326355;0,24414028227329254;0,01652483083307743
49;2424,6240234375;-307,2074890136719;50716,21484375;-29,219003677368164;673,0259399414062;-111,40091705322266;0,901770830154419;0,1968356966972351;0,24139457941055298;0,016352402046322823
50;2424,6240234375;-307,2074890136719;50716,21484375;-11,169641494750977;684,2700805664062;-111,38496398925781;0,9422993659973145;0,2044747918844223;0,2471972107887268;0,017212141305208206
51;2424,6240234375;-307,2074890136719;50716,21484375;-20,386322021484375;686,6250610351562;-111,44002532958984;0,9046083092689514;0,1973337084054947;0,2424931675195694;0,016585439443588257
52;2424,6240234375;-307,2074890136719;50716,21484375;-7,616833686828613;695,25;-112,6123275756836;0,9285734295845032;0,2035704106092453;0,2538910508155823;0,017367184162139893
53;2424,6240234375;-307,2074890136719;50716,21484375;-1,331974983215332;705,7454223632812;-112,04498291015625;0,8832799792289734;0,19432169198989868;0,24479040503501892;0,016483262181282043
54;2424,6240234375;-307,2074890136719;50716,21484375;6,383285045623779;709,6217041015625;-113,91940307617188;0,9146754145622253;0,20009630918502808;0,24738295376300812;0,01712614856660366
55;2424,6240234375;-307,2074890136719;50716,21484375;17,635940551757812;722,169189453125;-115,1787109375;0,8951712250709534;0,195728600025177;0,24079132080078125;0,016706794500350952
56;2424,6240234375;-307,2074890136719;50716,21484375;18,77240753173828;722,7151489257812;-115,78641510009766;0,891223132610321;0,19479423761367798;0,2382323443889618;0,01664319820702076
57;2424,6240234375;-307,2074890136719;50716,21484375;-18,740276336669922;717,1008911132812;-114,94349670410156;0,905929446220398;0,19878388941287994;0,24510906636714935;0,017163516953587532
58;2424,6240234375;-307,2074890136719;50716,21484375;1,9754064083099365;729,6242065429688;-116,89895629882812;0,9271848201751709;0,2029852718114853;0,24639521539211273;0,017603643238544464
59;2424,6240234375;-307,2074890136719;50716,21484375;0,21811851859092712;728,528076171875;-116,59821319580078;0,8748975992202759;0,19294774532318115;0,23900943994522095;0,01665249466896057
60;2424,6240234375;-307,2074890136719;50716,21484375;-27,318838119506836;729,6570434570312;-112,89130401611328;0,8931293487548828;0,19620315730571747;0,2369178682565689;0,016933901235461235
61;2424,6240234375;-307,2074890136719;50716,21484375;-22,029010772705078;735,3734130859375;-115,01368713378906;0,8925344347953796;0,19726097583770752;0,2418331801891327;0,01716592162847519
62;2424,6240234375;-307,2074890136719;50716,21484375;-27,440933227539062;740,990478515625;-115,09900665283203;0,8854781985282898;0,1963437795639038;0,24146445095539093;0,01712060160934925
63;2424,6240234375;-307,2074890136719;50716,21484375;-19,400150299072266;742,041748046875;-114,20620727539062;0,8799129128456116;0,19495545327663422;0,23574861884117126;0,016916725784540176
64;2424,6240234375;-307,2074890136719;50716,21484375;-17,26824378967285;753,0435791015625;-113,0046157836914;0,8658217191696167;0,19305375218391418;0,23762458562850952;0,016838369891047478
65;2424,6240234375;-307,2074890136719;50716,21484375;-33,49848556518555;748,7999877929688;-114,9852523803711;0,8709511160850525;0,1937701255083084;0,23202913999557495;0,016786914318799973
66;2424,6240234375;-307,2074890136719;50716,21484375;-37,96685791015625;755,7300415039062;-115,88312530517578;0,8708271384239197;0,1943572759628296;0,23287011682987213;0,016882602125406265
67;2424,6240234375;-307,2074890136719;50716,21484375;-19,746469497680664;761,3944702148438;-114,94580078125;0,8729615211486816;0,19528377056121826;0,23284175992012024;0,016974784433841705
68;2424,6240234375;-307,2074890136719;50716,21484375;-23,133468627929688;773,1983032226562;-113,86966705322266;0,8604429960250854;0,19324764609336853;0,23189295828342438;0,01682288572192192
69;2424,6240234375;-307,2074890136719;50716,21484375;-33,518699645996094;779,5787963867188;-114,21983337402344;0,842464804649353;0,19024759531021118;0,23274703323841095;0,01664828136563301
70;2424,6240234375;-307,2074890136719;50716,21484375;-14,085841178894043;791,8302001953125;-114,1207504272461;0,8646643757820129;0,19508416950702667;0,23177573084831238;0,01699259877204895
71;2424,6240234375;-307,2074890136719;50716,21484375;-18,108848571777344;802,1148071289062;-114,55902862548828;0,8261823058128357;0,18689754605293274;0,22163674235343933;0,016097823157906532
72;2424,6240234375;-307,2074890136719;50716,21484375;-23,788698196411133;802,7218627929688;-114,59662628173828;0,8764210343360901;0,19853878021240234;0,23189915716648102;0,017249250784516335
73;2424,6240234375;-307,2074890136719;50716,21484375;-50,48684310913086;805,6494140625;-112,59689331054688;0,8421394228935242;0,19160407781600952;0,2286331057548523;0,016716698184609413
74;2424,6240234375;-307,2074890136719;50716,21484375;-14,795372009277344;813,5169677734375;-112,00090026855469;0,8486610651016235;0,19353841245174408;0,23113088309764862;0,016958855092525482
75;2424,6240234375;-307,2074890136719;50716,21484375;-15,329733848571777;829,999267578125;-113,56397247314453;0,8594465851783752;0,19613255560398102;0,22664575278759003;0,016897009685635567
76;2424,6240234375;-307,2074890136719;50716,21484375;-26,81354522705078;831,0607299804688;-113,83747863769531;0,8222773671150208;0,18818092346191406;0,22122277319431305;0,016255980357527733
77;2424,6240234375;-307,2074890136719;50716,21484375;10,372298240661621;850,1681518554688;-116,6561050415039;0,8576985001564026;0,19664615392684937;0,22786307334899902;0,017008211463689804
78;2424,6240234375;-307,2074890136719;50716,21484375;4,051344871520996;860,2845458984375;-114,7044448852539;0,8708380460739136;0,20006157457828522;0,2313777208328247;0,01735842414200306
79;2424,6240234375;-307,2074890136719;50716,21484375;4,561554908752441;874,09033203125;-114,45703125;0,8526063561439514;0,19619973003864288;0,2276608645915985;0,017002368345856667
80;2424,6240234375;-307,2074890136719;50716,21484375;-18,026308059692383;890,970458984375;-113,58695983886719;0,8611828088760376;0,19858691096305847;0,22863131761550903;0,017121484503149986
81;2424,6240234375;-307,2074890136719;50716,21484375;11,482529640197754;891,0060424804688;-114,28837585449219;0,8257628083229065;0,19054406881332397;0,22117961943149567;0,016415689140558243
82;2424,6240234375;-307,2074890136719;50716,21484375;-37,14163589477539;899,05859375;-110,21056365966797;0,8598013520240784;0,19857783615589142;0,2306545078754425;0,017315227538347244
83;2424,6240234375;-307,2074890136719;50716,21484375;-20,50895881652832;920,32763671875;-111,56330108642578;0,8412837386131287;0,1946576088666916;0,22495406866073608;0,016769619658589363
84;2424,6240234375;-307,2074890136719;50716,21484375;-11,363506317138672;942,1292724609375;-114,69336700439453;0,8540704250335693;0,19778849184513092;0,22858268022537231;0,017100349068641663
85;2424,6240234375;-307,2074890136719;50716,21484375;-37,34453582763672;952,7291870117188;-111,92498779296875;0,8427287340164185;0,1950937807559967;0,2260819971561432;0,016897052526474
86;2424,6240234375;-307,2074890136719;50716,21484375;-29,61751365661621;972,6289672851562;-114,11325073242188;0,8377611637115479;0,19404925405979156;0,22480589151382446;0,01676023192703724
87;2424,6240234375;-307,2074890136719;50716,21484375;-50,00401306152344;982,0263671875;-112,7588882446289;0,8368132710456848;0,19422131776809692;0,22467085719108582;0,016618043184280396
88;2424,6240234375;-307,2074890136719;50716,21484375;-72,46121978759766;1003,6633911132812;-114,29335021972656;0,878822386264801;0,2038540095090866;0,2362668663263321;0,017703209072351456
89;2424,6240234375;-307,2074890136719;50716,21484375;-86,1913070678711;1011,83447265625;-112,90218353271484;0,8678747415542603;0,2015933096408844;0,2339966595172882;0,017340367659926414
90;2424,6240234375;-307,2074890136719;50716,21484375;-54,63022994995117;1037,482666015625;-111,35668182373047;0,8675795197486877;0,2007438689470291;0,2333092987537384;0,0174835417419672
91;2424,6240234375;-307,2074890136719;50716,21484375;-63,70028305053711;1042,9139404296875;-109,27289581298828;0,8892307877540588;0,20674321055412292;0,2415095567703247;0,017764322459697723
92;2424,6240234375;-307,2074890136719;50716,21484375;-65,36984252929688;1055,88232421875;-112,90200805664062;0,843787431716919;0,19519424438476562;0,22787487506866455;0,01680135540664196
93;2424,6240234375;-307,2074890136719;50716,21484375;-111,88531494140625;1062,845458984375;-109,43213653564453;0,8716956377029419;0,2019759863615036;0,23715123534202576;0,01737532950937748
94;2424,6240234375;-307,2074890136719;50716,21484375;-95,15107727050781;1082,181884765625;-111,49295806884766;0,871727466583252;0,20178964734077454;0,23782391846179962;0,017345309257507324
95;2424,6240234375;-307,2074890136719;50716,21484375;-120,20616912841797;1096,319091796875;-110,09771728515625;0,885036826133728;0,2042846530675888;0,24105605483055115;0,017695480957627296
96;2424,6240234375;-307,2074890136719;50716,21484375;-118,20117950439453;1114,675537109375;-112,22884368896484;0,8821626901626587;0,20295529067516327;0,2395804077386856;0,017634592950344086
97;2424,6240234375;-307,2074890136719;50716,21484375;-128,2353515625;1121,859375;-110,00177001953125;0,8841759562492371;0,20273356139659882;0,2393360286951065;0,017679428681731224
98;2424,6240234375;-307,2074890136719;50716,21484375;-163,94662475585938;1120,2353515625;-110,0653076171875;0,8801966905593872;0,20107881724834442;0,23724642395973206;0,01756744645535946
99;2424,6240234375;-307,2074890136719;50716,21484375;-179,5343475341797;1127,21435546875;-107,46192169189453;0,8864201307296753;0,2024896740913391;0,24095472693443298;0,017634375020861626
100;2424,6240234375;-307,2074890136719;50716,21484375;-175,7301025390625;1132,097900390625;-108,9277572631836;0,8716186881065369;0,19886428117752075;0,2382422834634781;0,017201438546180725
101;2424,6240234375;-307,2074890136719;50716,21484375;-190,09298706054688;1142,68408203125;-109,60780334472656;0,8873611688613892;0,2015359103679657;0,241038978099823;0,017566325142979622
102;2424,6240234375;-307,2074890136719;50716,21484375;-189,5543670654297;1156,3424072265625;-110,89700317382812;0,9052116274833679;0,20493391156196594;0,24564939737319946;0,0179468784481287
103;2424,6240234375;-307,2074890136719;50716,21484375;-202,619873046875;1162,1629638671875;-110,56976318359375;0,8610895872116089;0,19423894584178925;0,23311032354831696;0,016829801723361015
104;2424,6240234375;-307,2074890136719;50716,21484375;-199,70375061035156;1172,6082763671875;-111,04021453857422;0,8838240504264832;0,19968341290950775;0,24410267174243927;0,017256444320082664
