"B0 AOI1";;;;;;;;;;
"Index [1]";"X [mm]";"Y [mm]";"Z [mm]";"U [mm]";"V [mm]";"W [mm]";"Sigma_X [mm]";"Sigma_Y [mm]";"Sigma_Z [mm]";"sigma [pixel]"
35;-356,1358642578125;96,00934600830078;40729,83203125;-345,67388916015625;662,01171875;-61,17626190185547;0,6180763244628906;0,2581860423088074;0,18556545674800873;0,009772919118404388
36;-356,1358642578125;96,00934600830078;40729,83203125;-341,5835266113281;650,422607421875;-60,52750015258789;0,6205394268035889;0,25794267654418945;0,18546509742736816;0,009839567355811596
37;-356,1358642578125;96,00934600830078;40729,83203125;-278,9191589355469;632,076416015625;-51,997650146484375;0,6290493011474609;0,26016101241111755;0,18716537952423096;0,010033817030489445
38;-356,1358642578125;96,00934600830078;40729,83203125;-278,4385070800781;613,8488159179688;-51,54169845581055;0,6161758303642273;0,2598610520362854;0,18430796265602112;0,009853907860815525
39;-356,1358642578125;96,00934600830078;40729,83203125;-261,69378662109375;601,8114013671875;-48,98515319824219;0,6342495083808899;0,26470741629600525;0,18855205178260803;0,010244551114737988
40;-356,1358642578125;96,00934600830078;40729,83203125;-240,11839294433594;605,9572143554688;-46,56818771362305;0,627599835395813;0,2638002336025238;0,1867268979549408;0,010157265700399876
41;-356,1358642578125;96,00934600830078;40729,83203125;-248,97366333007812;586,3587036132812;-47,06616973876953;0,632750391960144;0,26588159799575806;0,18791715800762177;0,010304144583642483
42;-356,1358642578125;96,00934600830078;40729,83203125;-287,8019714355469;591,9277954101562;-52,44767761230469;0,6321008801460266;0,26186755299568176;0,1864623874425888;0,010274248197674751
43;-356,1358642578125;96,00934600830078;40729,83203125;-299,7345886230469;607,7656860351562;-54,28813934326172;0,6075150370597839;0,25510263442993164;0,17989252507686615;0,009818182326853275
44;-356,1358642578125;96,00934600830078;40729,83203125;-228,19935607910156;633,12158203125;-45,31611633300781;0,6080309152603149;0,2576654851436615;0,18044504523277283;0,009893685579299927
45;-356,1358642578125;96,00934600830078;40729,83203125;-336,2596435546875;600,6107788085938;-59,072628021240234;0,6349305510520935;0,2624482810497284;0,18655993044376373;0,010438314639031887
46;-356,1358642578125;96,00934600830078;40729,83203125;-321,87030029296875;601,7757568359375;-57,00279998779297;0,6255303025245667;0,2641928195953369;0,1851285994052887;0,010350060649216175
47;-356,1358642578125;96,00934600830078;40729,83203125;-384,88250732421875;580,6400756835938;-65,29679107666016;0,6330181956291199;0,2642464339733124;0,18646551668643951;0,010514690540730953
48;-356,1358642578125;96,00934600830078;40729,83203125;-379,3642578125;595,59375;-64,46300506591797;0,6503151059150696;0,2753295600414276;0,1924947202205658;0,01098405010998249
49;-356,1358642578125;96,00934600830078;40729,83203125;-395,05535888671875;611,8355712890625;-66,89588928222656;0,6456980109214783;0,26683664321899414;0,18944399058818817;0,010831654071807861
50;-356,1358642578125;96,00934600830078;40729,83203125;-409,26580810546875;619,7128295898438;-68,98319244384766;0,6669177412986755;0,2732246518135071;0,19509878754615784;0,011301874183118343
51;-356,1358642578125;96,00934600830078;40729,83203125;-389,496826171875;636,4174194335938;-66,61186218261719;0,668993353843689;0,27753427624702454;0,19662536680698395;0,011439312249422073
52;-356,1358642578125;96,00934600830078;40729,83203125;-409,6385498046875;646,481689453125;-69,28074645996094;0,6538275480270386;0,2647319436073303;0,19065062701702118;0,011038371361792088
53;-356,1358642578125;96,00934600830078;40729,83203125;-393,3668518066406;661,3871459960938;-66,88926696777344;0,6464368104934692;0,26778286695480347;0,19010920822620392;0,01101709809154272
54;-356,1358642578125;96,00934600830078;40729,83203125;-431,772705078125;646,7207641601562;-71,94485473632812;0,6598417162895203;0,2733980119228363;0,19423823058605194;0,011358863674104214
55;-356,1358642578125;96,00934600830078;40729,83203125;-524,268798828125;618,5281372070312;-83,84745025634766;0,6428179740905762;0,2667672336101532;0,18954411149024963;0,011034040711820126
56;-356,1358642578125;96,00934600830078;40729,83203125;-488,2008361816406;645,6346435546875;-78,9317855834961;0,6448882818222046;0,26526716351509094;0,18977567553520203;0,011080149561166763
57;-356,1358642578125;96,00934600830078;40729,83203125;-613,4717407226562;604,9655151367188;-94,60266876220703;0,6310475468635559;0,26450419425964355;0,187186136841774;0,010894966311752796
58;-356,1358642578125;96,00934600830078;40729,83203125;-589,473388671875;616,6311645507812;-91,75127410888672;0,6247205138206482;0,26165100932121277;0,18550778925418854;0,01078715268522501
59;-356,1358642578125;96,00934600830078;40729,83203125;-634,816650390625;611,9285278320312;-97,70753479003906;0,646569550037384;0,26492464542388916;0,1908617615699768;0,011231353506445885
60;-356,1358642578125;96,00934600830078;40729,83203125;-634,1499633789062;602,7139282226562;-97,34132385253906;0,6244573593139648;0,2558026611804962;0,18462114036083221;0,010768545791506767
61;-356,1358642578125;96,00934600830078;40729,83203125;-661,5828857421875;589,1295166015625;-100,90015411376953;0,6196082830429077;0,25285714864730835;0,1832810938358307;0,010680284351110458
62;-356,1358642578125;96,00934600830078;40729,83203125;-620,7950439453125;583,3510131835938;-94,88140106201172;0,6044107675552368;0,24589522182941437;0,17891918122768402;0,010349606163799763
63;-356,1358642578125;96,00934600830078;40729,83203125;-635,4628295898438;557,5794067382812;-96,36553955078125;0,6052303910255432;0,2491995096206665;0,18022798001766205;0,010467053391039371
64;-356,1358642578125;96,00934600830078;40729,83203125;-649,0870971679688;536,458251953125;-97,8236083984375;0,6019330024719238;0,24785949289798737;0,17960631847381592;0,010429582558572292
65;-356,1358642578125;96,00934600830078;40729,83203125;-587,1611938476562;518,876953125;-89,07038879394531;0,6032918095588684;0,24620617926120758;0,1798238307237625;0,01045237947255373
66;-356,1358642578125;96,00934600830078;40729,83203125;-595,445068359375;489,0948181152344;-89,08706665039062;0,6077908277511597;0,2472364753484726;0,18134239315986633;0,010578210465610027
67;-356,1358642578125;96,00934600830078;40729,83203125;-557,3042602539062;466,447509765625;-83,78087615966797;0,603181779384613;0,24263018369674683;0,1796647012233734;0,010442543774843216
68;-356,1358642578125;96,00934600830078;40729,83203125;-490,9364013671875;456,688720703125;-74,29115295410156;0,6111703515052795;0,2477644681930542;0,1828821897506714;0,010705450549721718
69;-356,1358642578125;96,00934600830078;40729,83203125;-394,61285400390625;413,3233337402344;-60,75923156738281;0,6150278449058533;0,25084590911865234;0,1847933530807495;0,010855486616492271
70;-356,1358642578125;96,00934600830078;40729,83203125;-403,09619140625;395,651123046875;-61,44078826904297;0,6058889627456665;0,24447040259838104;0,18175847828388214;0,010621779598295689
71;-356,1358642578125;96,00934600830078;40729,83203125;-325,6620178222656;376,6894226074219;-50,57709884643555;0,6040963530540466;0,24382321536540985;0,18160076439380646;0,010611198842525482
72;-356,1358642578125;96,00934600830078;40729,83203125;-256,4395446777344;336,6448059082031;-40,73193359375;0,6037294864654541;0,24529588222503662;0,1822819709777832;0,010666212998330593
73;-356,1358642578125;96,00934600830078;40729,83203125;-258,3826599121094;289,5815124511719;-39,665584564208984;0,5977956652641296;0,24216224253177643;0,18067331612110138;0,010544768534600735
74;-356,1358642578125;96,00934600830078;40729,83203125;-198,0338592529297;255,52784729003906;-31,527629852294922;0,5907841920852661;0,23946566879749298;0,17895178496837616;0,01041029579937458
75;-356,1358642578125;96,00934600830078;40729,83203125;-127,71395874023438;221,53831481933594;-21,247926712036133;0,598922073841095;0,24094553291797638;0,18126057088375092;0,01058873813599348
76;-356,1358642578125;96,00934600830078;40729,83203125;-147,32119750976562;201,3583984375;-23,371917724609375;0,5849624276161194;0,236334890127182;0,17767657339572906;0,010311402380466461
77;-356,1358642578125;96,00934600830078;40729,83203125;-174,04808044433594;171,10476684570312;-25,639673233032227;0,5818974375724792;0,23564355075359344;0,177277609705925;0,010273050516843796
78;-356,1358642578125;96,00934600830078;40729,83203125;-102,79879760742188;145,2699432373047;-15,847386360168457;0,5700703859329224;0,22956658899784088;0,17361900210380554;0,009992603212594986
79;-356,1358642578125;96,00934600830078;40729,83203125;-24,859750747680664;107,60197448730469;-4,834717750549316;0,5711734890937805;0,22808171808719635;0,17364643514156342;0,009999164380133152
80;-356,1358642578125;96,00934600830078;40729,83203125;27,615142822265625;57,675018310546875;3,0786774158477783;0,5780847072601318;0,23052199184894562;0,17599214613437653;0,010178047232329845
81;-356,1358642578125;96,00934600830078;40729,83203125;131,02081298828125;17,86296844482422;17,653207778930664;0,5692178606987;0,22611284255981445;0,1733216941356659;0,009967106394469738
82;-356,1358642578125;96,00934600830078;40729,83203125;132,21426391601562;-26,95950698852539;18,958011627197266;0,5502344965934753;0,21783389151096344;0,16761839389801025;0,009520413354039192
83;-356,1358642578125;96,00934600830078;40729,83203125;154,103515625;-61,359371185302734;22,79062271118164;0,5494616031646729;0,21634170413017273;0,16720148921012878;0,009491966105997562
84;-356,1358642578125;96,00934600830078;40729,83203125;150,5738525390625;-67,1629867553711;21,710359573364258;0,5295082926750183;0,20771099627017975;0,1611587107181549;0,00901239737868309
85;-356,1358642578125;96,00934600830078;40729,83203125;210,98443603515625;-92,69884490966797;30,483463287353516;0,5518029928207397;0,21523216366767883;0,16745209693908691;0,009513428434729576
86;-356,1358642578125;96,00934600830078;40729,83203125;254,14382934570312;-131,83807373046875;37,17906951904297;0,5462601184844971;0,2122800648212433;0,16585275530815125;0,009390754625201225
87;-356,1358642578125;96,00934600830078;40729,83203125;261,98956298828125;-141,200439453125;38,07462692260742;0,5318064093589783;0,2055908590555191;0,1615481823682785;0,009045779705047607
88;-356,1358642578125;96,00934600830078;40729,83203125;253,72044372558594;-161,66177368164062;37,8096809387207;0,5353731513023376;0,20555731654167175;0,16262345016002655;0,009120702743530273
